product	source_table	domain	move	target
BF	discount_codes	Finance	merged	(folded into a sibling)
BF	discount_redemptions	Finance	keep	discount_redemptions
BF	report_subscriptions	Platform & observability	primitive	connection
BF	cost_calculations	Finance	keep	cost_calculations
BF	webhook_subscriptions	Integrations	primitive	connection
BF	budgets	Finance	keep	budgets
BF	rd_financials_quarterly	Finance	flatten	metric_fact + a scheduled rollup
BF	rd_revenue_quarterly	Finance	merged	(folded into a sibling)
BF	freelancer_invoices	Commerce	primitive	ledger_entry
BF	chat_messages	Platform & observability	primitive	message
BF	chat_memories	Agents & runtime	keep	chat_memories
BF	brain_chats	Canvas & ideas	primitive	thread
BF	chat_read_state	Platform & observability	merged	(folded into a sibling)
BF	chat_ticket_links	Platform & observability	primitive	share_link
BF	brain_chat_messages	Canvas & ideas	primitive	message
BF	team_memory	Identity & tenancy	keep	team_memory
BF	marketplace_knowledge	Commerce	keep	marketplace_knowledge
BF	knowledge_listing_purchases	Support & knowledge	primitive	ledger_entry
BF	knowledge_documents	Support & knowledge	session	creation_session + live session
BF	knowledge_document_versions	Support & knowledge	primitive	revision
BF	knowledge_document_tags	Support & knowledge	primitive	annotation
BF	knowledge_acknowledgements	Support & knowledge	keep	knowledge_acknowledgements
BF	knowledge_document_collaborators	Support & knowledge	primitive	membership
BF	facts	Agents & runtime	keep	facts
BF	freelancer_conversations	Commerce	primitive	thread
BF	freelancer_messages	Commerce	primitive	message
BF	email_preferences	Growth & marketing	primitive	setting
BF	newsletter_subscribers	Growth & marketing	primitive	membership
BF	newsletter_templates	Growth & marketing	primitive	catalog_item
BF	newsletter_events	Growth & marketing	primitive	event_log
BF	time_entries	Delivery & work	keep	time_entries
BF	activity_log	Platform & observability	primitive	event_log
BF	email_verification_codes	Growth & marketing	merged	(folded into a sibling)
BF	contributors	Delivery & work	keep	contributors
BF	contributor_identities	Delivery & work	keep	contributor_identities
BF	activity_events	Platform & observability	primitive	event_log
BF	contributor_daily_metrics	Delivery & work	primitive	metric_fact
BF	contributor_merges	Delivery & work	keep	contributor_merges
BF	dev_teams	Delivery & work	keep	dev_teams
BF	teams	Identity & tenancy	merged	(folded into a sibling)
BF	team_velocity	Identity & tenancy	merged	(folded into a sibling)
BF	ceremony_participants	Delivery & work	primitive	membership
BF	ceremony_schedules	Delivery & work	primitive	setting
BF	meetings	Platform & observability	session	creation_session + live session
BF	meeting_attendees	Platform & observability	primitive	membership
BF	calendar_connections	Integrations	primitive	connection
BF	poker_stories	Delivery & work	keep	poker_stories
BF	poker_votes	Delivery & work	primitive	annotation
BF	retrospectives	Delivery & work	merged	(folded into a sibling)
BF	retro_items	Delivery & work	keep	retro_items
BF	customer_feedback	Support & knowledge	keep	customer_feedback
BF	uptime_samples	Platform & observability	primitive	metric_fact
BF	freelancer_engagements	Commerce	keep	freelancer_engagements
BF	activity_signals	Growth & marketing	keep	activity_signals
BF	timecard_entries	Finance	keep	timecard_entries
BF	timecards	Finance	keep	timecards
BF	freelancer_notifications	Commerce	primitive	webhook
BF	pulse_surveys	People & HR	primitive	question_set
BF	pulse_responses	People & HR	primitive	response
BF	coaching_notes	People & HR	primitive	annotation
BF	feedback_collectors	Support & knowledge	keep	feedback_collectors
BF	feedback_submissions	Support & knowledge	primitive	response
BF	rehearsals	Delivery & work	keep	rehearsals
BF	rehearsal_steps	Delivery & work	primitive	run
BF	creation_sessions	Canvas & ideas	keep	creation_sessions
BF	creation_session_objects	Canvas & ideas	keep	creation_session_objects
BF	creation_session_timeline	Canvas & ideas	primitive	event_log
